Title,Code,O2 % in Gas,DVIS 5 Time Limit,Surface Interval Hours,EAD m/sw,PO2 Bar,Depth (msw),Dive Time (min),till 1st stop,21,18,15,12,9,18,15,12,9,6,3,Total deco time (min),Total OTU,Total ESOT,,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,39,1.029,39,30,2.7,,,,3,2,5,,1,13,25,84,138.7,34,45,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,39,1.029,39,40,2.4,,,2,3,4,5,,8,25,26,176,254.7,45,63,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,42,1.092,42,10,4.2,,,,,,5,,,,4,6,21,15,19,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,42,1.092,42,20,3,,,,2,1,5,,,5,14,26,59,26,33,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,42,1.092,42,30,2.7,,,2,3,2,5,,3,19,25,117,182,38,53,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,42,1.092,42,35,2.7,,,3,3,3,5,,7,25,26,166,244,44,64,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,45,1.155,45,10,3.6,,,,,1,5,,,,4,8,24.3,16,21,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,45,1.155,45,20,3,,,1,2,2,5,,,7,19,33,75.3,29,38,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,45,1.155,45,30,3,,,3,4,2,5,,4,24,26,146,220.3,41,62,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,45,1.155,45,35,2.7,,1,3,5,4,5,,12,26,32,199,293.3,48,73,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,48,1.218,48,10,3.6,,,,,1,5,,,1,4,12,29.6,17,24,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,48,1.218,48,20,3.3,,,2,3,1,5,,,9,23,55,104.6,31,45,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,48,1.218,48,30,3,,2,3,4,4,5,,8,25,26,179,262.6,45,71,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,51,1.281,51,10,3.9,,,,1,1,5,,,2,4,16,35.9,19,28,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,51,1.281,51,20,3.3,,1,2,3,2,5,,1,11,25,79,135.9,34,52,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,51,1.281,51,30,3,1,2,3,6,4,5,,14,25,35,209,310.9,49,81,0,,,,,,,,,,,,,,,,,,,,,
